"scenario","threshold","proportion_meeting_product_characteristic","number_of_servings_meeting_product_characteristic","average_p_ill","illness_proportion_from_characterized_product"
"Over the level threshold",0.00735023888276369,0.2062997,18560653403.39,9.54980245465984e-06,0.983677769304219
"Over the level threshold",1,0.0066899,601886067.712842,0.000203822531516659,0.679877526204846
"Over the level threshold",10,0.0005832,52470134.7837979,0.00127818668318133,0.370419927364719
"Under the level threshold",0.00735023888276369,0.7937003,71408713509.8437,4.10238977880594e-08,0.0163222306957806
"Under the level threshold",1,0.9933101,89367480845.5209,6.42878997558081e-07,0.320122473795154
"Under the level threshold",10,0.9994168,89916896778.4499,1.2570429494665e-06,0.629580072635281
"Inclusion list&over the level threshold",0.00735023888276369,0.1056552,9505731455.09109,1.3296549414035e-05,0.701877373468602
"Inclusion list&over the level threshold",1,0.0034193,307632256.28642,0.000283746976073342,0.484105544463332
"Inclusion list&over the level threshold",10,0.0002944,26486981.619256,0.00179955636613444,0.262777765202137
"Kentucky&over the level threshold",0.00735023888276369,0.0602455,5420249494.37122,3.48456299892932e-07,0.0105352214699473
"Kentucky&over the level threshold",1,0.0019683,177086704.895318,7.37974833421622e-06,0.00729394300824827
"Kentucky&over the level threshold",10,0.0001749,15735642.2731246,4.50479513058066e-05,0.00395138899190487
"Not-Kentucky&over the level threshold",0.00735023888276369,0.1460542,13140403909.0188,1.33451423551446e-05,0.973142547834272
"Not-Kentucky&over the level threshold",1,0.0047216,424799362.817524,0.000285648518168278,0.672583583196598
"Not-Kentucky&over the level threshold",10,0.0004083,36734492.5106733,0.00180871106979559,0.366468538372814
